original_language,original_title,release_date,revenue,runtime
en,Pirates of the Caribbean: At World's End,5/19/2007,961000000,169
en,Spectre,10/26/2015,880674609,148
en,The Dark Knight Rises,7/16/2012,1084939099,165
en,John Carter,3/7/2012,284139100,132
en,Spider-Man 3,5/1/2007,890871626,139
en,Tangled,11/24/2010,591794936,100
en,Avengers: Age of Ultron,4/22/2015,1405403694,141
en,Harry Potter and the Half-Blood Prince,7/7/2009,933959197,153
en,Batman v Superman: Dawn of Justice,3/23/2016,873260194,151
en,Superman Returns,6/28/2006,391081192,154
en,Quantum of Solace,10/30/2008,586090727,106
en,Pirates of the Caribbean: Dead Man's Chest,6/20/2006,1065659812,151
en,The Lone Ranger,7/3/2013,89289910,149
en,Man of Steel,6/12/2013,662845518,143
en,The Chronicles of Narnia: Prince Caspian,5/15/2008,419651413,150
en,The Avengers,4/25/2012,1519557910,143
en,Pirates of the Caribbean: On Stranger Tides,5/14/2011,1045713802,136
en,Men in Black 3,5/23/2012,624026776,106
en,The Hobbit: The Battle of the Five Armies,12/10/2014,956019788,144
en,The Amazing Spider-Man,6/27/2012,752215857,136
en,Robin Hood,5/12/2010,310669540,140
en,The Hobbit: The Desolation of Smaug,12/11/2013,958400000,161
en,The Golden Compass,12/4/2007,372234864,113
en,King Kong,12/14/2005,550000000,187
en,Titanic,11/18/1997,1845034188,194
en,Captain America: Civil War,4/27/2016,1153304495,147
en,Battleship,4/11/2012,303025485,131
en,Jurassic World,6/9/2015,1513528810,124
en,Skyfall,10/25/2012,1108561013,143
en,Spider-Man 2,6/25/2004,783766341,127
en,Iron Man 3,4/18/2013,1215439994,130
en,Alice in Wonderland,3/3/2010,1025491110,108
en,X-Men: The Last Stand,5/24/2006,459359555,104
en,Monsters University,6/20/2013,743559607,104
en,Transformers: Revenge of the Fallen,6/19/2009,836297228,150
en,Transformers: Age of Extinction,6/25/2014,1091405097,165
en,Oz: The Great and Powerful,3/7/2013,491868548,130
en,The Amazing Spider-Man 2,4/16/2014,705717432,142
en,TRON: Legacy,12/10/2010,400062763,125
en,Cars 2,6/11/2011,559852396,106
en,Green Lantern,6/16/2011,219851172,114
en,Toy Story 3,6/16/2010,1066969703,103
en,Terminator Salvation,5/20/2009,371353001,115
en,Furious 7,4/1/2015,1506249360,137
en,World War Z,6/20/2013,531865000,116
en,X-Men: Days of Future Past,5/15/2014,747862775,131
en,Star Trek Into Darkness,5/5/2013,467365246,132
en,Jack the Giant Slayer,2/27/2013,197687603,114
en,The Great Gatsby,5/10/2013,351040419,143
en,Prince of Persia: The Sands of Time,5/19/2010,335154643,116
en,Pacific Rim,7/11/2013,407602906,131